variant,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,epochs_run
A0_full,ETTh1,336,96,2021,0.374240,0.394695,0.672318,64997,6
A0_full,ETTh1,336,96,2022,0.372444,0.394005,0.671845,64997,7
A0_full,ETTh1,336,96,2023,0.373658,0.395085,0.671583,64997,6
A1_revin,ETTh1,336,96,2021,0.374247,0.394699,0.672323,64708,6
A1_revin,ETTh1,336,96,2022,0.372452,0.394010,0.671837,64708,7
A1_revin,ETTh1,336,96,2023,0.373666,0.395090,0.671590,64708,6
A2_fixedMA,ETTh1,336,96,2021,0.374529,0.395796,0.674563,64995,20
A2_fixedMA,ETTh1,336,96,2022,0.375439,0.397132,0.672688,64995,7
A2_fixedMA,ETTh1,336,96,2023,0.374381,0.395690,0.674431,64995,19
A3_K1_arevin,ETTh1,336,96,2021,0.382412,0.402719,0.678082,32643,5
A3_K1_arevin,ETTh1,336,96,2022,0.376926,0.397781,0.678150,32643,19
A3_K1_arevin,ETTh1,336,96,2023,0.377813,0.398950,0.673948,32643,7
A4_K1_revin,ETTh1,336,96,2021,0.382447,0.402745,0.678096,32354,5
A4_K1_revin,ETTh1,336,96,2022,0.376942,0.397793,0.678160,32354,19
A4_K1_revin,ETTh1,336,96,2023,0.377836,0.398967,0.673937,32354,7
A5_K3,ETTh1,336,96,2021,0.372194,0.393406,0.670496,97351,7
A5_K3,ETTh1,336,96,2022,0.371724,0.392774,0.670167,97351,8
A5_K3,ETTh1,336,96,2023,0.371258,0.392473,0.671396,97351,13
A5_K4,ETTh1,336,96,2021,0.371140,0.392348,0.670919,129705,9
A5_K4,ETTh1,336,96,2022,0.372912,0.393824,0.670573,129705,6
A5_K4,ETTh1,336,96,2023,0.373231,0.394225,0.671138,129705,6
A6_gate,ETTh1,336,96,2021,0.374915,0.395781,0.674271,64999,6
A6_gate,ETTh1,336,96,2022,0.373426,0.394665,0.675265,64999,8
A6_gate,ETTh1,336,96,2023,0.374481,0.395889,0.674197,64999,6
A7_frozen,ETTh1,336,96,2021,0.374263,0.394714,0.672283,64995,6
A7_frozen,ETTh1,336,96,2022,0.372456,0.394016,0.671806,64995,7
A7_frozen,ETTh1,336,96,2023,0.373684,0.395112,0.671567,64995,6
A8_no_lambda,ETTh1,336,96,2021,0.374240,0.394695,0.672318,64901,6
A8_no_lambda,ETTh1,336,96,2022,0.372444,0.394005,0.671845,64901,7
A8_no_lambda,ETTh1,336,96,2023,0.373658,0.395085,0.671582,64901,6
A0_full,ETTh1,336,720,2021,0.447318,0.460934,1.416066,487445,5
A0_full,ETTh1,336,720,2022,0.443056,0.457820,1.414413,487445,8
A0_full,ETTh1,336,720,2023,0.442771,0.457715,1.416729,487445,9
A1_revin,ETTh1,336,720,2021,0.447343,0.460946,1.416086,485284,5
A1_revin,ETTh1,336,720,2022,0.443070,0.457825,1.414420,485284,8
A1_revin,ETTh1,336,720,2023,0.442783,0.457719,1.416737,485284,9
A2_fixedMA,ETTh1,336,720,2021,0.447828,0.462132,1.417469,487443,6
A2_fixedMA,ETTh1,336,720,2022,0.446876,0.460960,1.418000,487443,9
A2_fixedMA,ETTh1,336,720,2023,0.446863,0.460891,1.419928,487443,9
A3_K1_arevin,ETTh1,336,720,2021,0.451909,0.465117,1.421971,244803,5
A3_K1_arevin,ETTh1,336,720,2022,0.448503,0.462392,1.420503,244803,7
A3_K1_arevin,ETTh1,336,720,2023,0.447247,0.461354,1.421560,244803,12
A4_K1_revin,ETTh1,336,720,2021,0.451956,0.465142,1.422017,242642,5
A4_K1_revin,ETTh1,336,720,2022,0.448545,0.462415,1.420555,242642,7
A4_K1_revin,ETTh1,336,720,2023,0.447281,0.461373,1.421601,242642,12
A5_K3,ETTh1,336,720,2021,0.442270,0.457523,1.415595,730087,8
A5_K3,ETTh1,336,720,2022,0.451893,0.464378,1.418708,730087,4
A5_K3,ETTh1,336,720,2023,0.442030,0.457242,1.414844,730087,9
A5_K4,ETTh1,336,720,2021,0.442972,0.457907,1.413968,972729,7
A5_K4,ETTh1,336,720,2022,0.442262,0.457727,1.412500,972729,7
A5_K4,ETTh1,336,720,2023,0.442029,0.456960,1.413921,972729,8
A6_gate,ETTh1,336,720,2021,0.442877,0.458873,1.412336,487447,5
A6_gate,ETTh1,336,720,2022,0.441140,0.457356,1.414329,487447,8
A6_gate,ETTh1,336,720,2023,0.441178,0.457935,1.416062,487447,6
A7_frozen,ETTh1,336,720,2021,0.447334,0.460951,1.416048,487443,5
A7_frozen,ETTh1,336,720,2022,0.443040,0.457811,1.414366,487443,8
A7_frozen,ETTh1,336,720,2023,0.442751,0.457705,1.416678,487443,9
A8_no_lambda,ETTh1,336,720,2021,0.447318,0.460934,1.416065,486725,5
A8_no_lambda,ETTh1,336,720,2022,0.443056,0.457820,1.414413,486725,8
A8_no_lambda,ETTh1,336,720,2023,0.442771,0.457715,1.416729,486725,9
A0_full,ETTm2,336,96,2021,0.164283,0.252969,0.116362,64997,9
A0_full,ETTm2,336,96,2022,0.163273,0.252292,0.116072,64997,7
A0_full,ETTm2,336,96,2023,0.164622,0.253035,0.116274,64997,7
A1_revin,ETTm2,336,96,2021,0.164284,0.252969,0.116365,64708,9
A1_revin,ETTm2,336,96,2022,0.163269,0.252293,0.116075,64708,7
A1_revin,ETTm2,336,96,2023,0.164627,0.253035,0.116275,64708,7
A2_fixedMA,ETTm2,336,96,2021,0.164431,0.253187,0.116639,64995,9
A2_fixedMA,ETTm2,336,96,2022,0.163450,0.252566,0.116411,64995,7
A2_fixedMA,ETTm2,336,96,2023,0.164901,0.253339,0.116590,64995,7
A3_K1_arevin,ETTm2,336,96,2021,0.165826,0.255319,0.117575,32643,9
A3_K1_arevin,ETTm2,336,96,2022,0.165810,0.255188,0.117561,32643,10
A3_K1_arevin,ETTm2,336,96,2023,0.165737,0.255290,0.117688,32643,14
A4_K1_revin,ETTm2,336,96,2021,0.165846,0.255342,0.117591,32354,9
A4_K1_revin,ETTm2,336,96,2022,0.165829,0.255214,0.117580,32354,10
A4_K1_revin,ETTm2,336,96,2023,0.165756,0.255315,0.117708,32354,14
