model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
naive,electricity,336,96,2021,1.587703,0.945404,1.407842,0,0,0.0000,14.8,0,L336
naive,electricity,336,96,2022,1.587703,0.945404,1.407842,0,0,0.0000,14.8,0,L336
naive,electricity,336,96,2023,1.587703,0.945404,1.407842,0,0,0.0000,14.8,0,L336
nlinear,electricity,336,96,2021,0.141353,0.237279,0.121394,32352,64512,6.5733,109.4,15,L336
nlinear,electricity,336,96,2022,0.141364,0.237290,0.121413,32352,64512,7.1348,109.4,20,L336
nlinear,electricity,336,96,2023,0.141357,0.237278,0.121397,32352,64512,7.2400,109.4,13,L336
dlinear,electricity,336,96,2021,0.140285,0.237649,0.119936,64704,129024,7.1068,120.9,13,L336
dlinear,electricity,336,96,2022,0.140276,0.237643,0.119895,64704,129024,6.7540,120.9,16,L336
dlinear,electricity,336,96,2023,0.140243,0.237438,0.119916,64704,129024,7.7809,120.9,13,L336
rlinear,electricity,336,96,2021,0.140774,0.236149,0.120608,32354,64512,7.9172,119.2,15,L336
rlinear,electricity,336,96,2022,0.140785,0.236157,0.120618,32354,64512,7.2047,119.2,20,L336
rlinear,electricity,336,96,2023,0.140786,0.236159,0.120623,32354,64512,6.2343,119.2,20,L336
fits,electricity,336,96,2021,0.187999,0.300815,0.165717,4644,18144,6.6406,151.7,9,L336
fits,electricity,336,96,2022,0.188019,0.300837,0.165724,4644,18144,6.8062,151.7,12,L336
fits,electricity,336,96,2023,0.188024,0.300841,0.165721,4644,18144,6.7911,151.7,10,L336
freqlite,electricity,336,96,2021,0.140357,0.235414,0.120211,64997,185420,9.6357,171.5,13,L336
freqlite,electricity,336,96,2022,0.140351,0.235407,0.120199,64997,185420,9.4580,171.5,14,L336
freqlite,electricity,336,96,2023,0.140362,0.235437,0.120205,64997,185420,10.7315,171.5,12,L336
naive,electricity,336,192,2021,1.596046,0.950663,1.416348,0,0,0.0000,89.8,0,L336
naive,electricity,336,192,2022,1.596046,0.950663,1.416348,0,0,0.0000,89.8,0,L336
naive,electricity,336,192,2023,1.596046,0.950663,1.416348,0,0,0.0000,89.8,0,L336
nlinear,electricity,336,192,2021,0.155593,0.249617,0.133217,64704,129024,6.7436,120.5,15,L336
nlinear,electricity,336,192,2022,0.155564,0.249572,0.133180,64704,129024,14.7423,120.5,19,L336
nlinear,electricity,336,192,2023,0.155549,0.249549,0.133170,64704,129024,15.5594,120.5,17,L336
dlinear,electricity,336,192,2021,0.154029,0.250759,0.130694,129408,258048,7.1411,135.7,13,L336
dlinear,electricity,336,192,2022,0.154052,0.250870,0.130693,129408,258048,7.1359,135.7,18,L336
dlinear,electricity,336,192,2023,0.154021,0.250714,0.130698,129408,258048,7.1503,135.7,13,L336
rlinear,electricity,336,192,2021,0.154955,0.248340,0.132297,64706,129024,7.3706,130.6,14,L336
rlinear,electricity,336,192,2022,0.154956,0.248342,0.132292,64706,129024,7.4134,130.6,19,L336
rlinear,electricity,336,192,2023,0.154947,0.248335,0.132281,64706,129024,7.4892,130.6,14,L336
fits,electricity,336,192,2021,0.201004,0.310427,0.176215,5676,22176,7.5169,168.6,10,L336
fits,electricity,336,192,2022,0.200992,0.310429,0.176225,5676,22176,7.5916,168.6,11,L336
fits,electricity,336,192,2023,0.201012,0.310445,0.176233,5676,22176,7.6659,168.6,9,L336
freqlite,electricity,336,192,2021,0.154453,0.247473,0.131789,129989,314444,11.0280,183.4,14,L336
freqlite,electricity,336,192,2022,0.154459,0.247484,0.131789,129989,314444,11.0744,183.4,13,L336
freqlite,electricity,336,192,2023,0.154470,0.247506,0.131783,129989,314444,11.0016,183.4,11,L336
naive,electricity,336,336,2021,1.617714,0.961274,1.429686,0,0,0.0000,101.9,0,L336
naive,electricity,336,336,2022,1.617714,0.961274,1.429686,0,0,0.0000,101.9,0,L336
naive,electricity,336,336,2023,1.617714,0.961274,1.429686,0,0,0.0000,101.9,0,L336
nlinear,electricity,336,336,2021,0.172224,0.266243,0.149629,113232,225792,7.4650,139.8,17,L336
nlinear,electricity,336,336,2022,0.172229,0.266275,0.149613,113232,225792,7.4234,139.8,14,L336
nlinear,electricity,336,336,2023,0.172262,0.266296,0.149650,113232,225792,7.3869,139.8,13,L336
dlinear,electricity,336,336,2021,0.169667,0.268409,0.145385,226464,451584,7.9543,162.1,20,L336
dlinear,electricity,336,336,2022,0.169630,0.268287,0.145361,226464,451584,7.8737,162.1,14,L336
dlinear,electricity,336,336,2023,0.169661,0.268364,0.145381,226464,451584,7.8897,162.1,12,L336
rlinear,electricity,336,336,2021,0.171624,0.264917,0.148517,113234,225792,8.1806,152.9,17,L336
rlinear,electricity,336,336,2022,0.171622,0.264938,0.148489,113234,225792,8.1779,152.9,13,L336
rlinear,electricity,336,336,2023,0.171630,0.264925,0.148517,113234,225792,8.1703,152.9,17,L336
fits,electricity,336,336,2021,0.216167,0.323353,0.190887,7224,28224,8.3137,200.6,17,L336
fits,electricity,336,336,2022,0.216151,0.323325,0.190870,7224,28224,8.2590,200.6,16,L336
fits,electricity,336,336,2023,0.216130,0.323279,0.190834,7224,28224,12.5357,200.6,9,L336
freqlite,electricity,336,336,2021,0.171024,0.263951,0.147898,227477,507980,19.4266,225.7,18,L336
freqlite,electricity,336,336,2022,0.171027,0.263960,0.147892,227477,507980,13.7778,225.7,15,L336
freqlite,electricity,336,336,2023,0.171027,0.263953,0.147893,227477,507980,13.7659,225.7,20,L336
naive,electricity,336,720,2021,1.646619,0.975316,1.452972,0,0,0.0000,133.2,0,L336
naive,electricity,336,720,2022,1.646619,0.975316,1.452972,0,0,0.0000,133.2,0,L336
naive,electricity,336,720,2023,1.646619,0.975316,1.452972,0,0,0.0000,133.2,0,L336
nlinear,electricity,336,720,2021,0.211071,0.298587,0.182370,242640,483840,10.5034,195.2,18,L336
nlinear,electricity,336,720,2022,0.211090,0.298675,0.182340,242640,483840,10.4827,195.2,12,L336
nlinear,electricity,336,720,2023,0.211093,0.298621,0.182372,242640,483840,10.3848,195.2,14,L336
dlinear,electricity,336,720,2021,0.204188,0.301369,0.172437,485280,967680,10.8365,227.7,11,L336
dlinear,electricity,336,720,2022,0.203950,0.300823,0.172428,485280,967680,10.8002,227.7,9,L336
dlinear,electricity,336,720,2023,0.204181,0.301489,0.172448,485280,967680,10.7528,227.7,11,L336
rlinear,electricity,336,720,2021,0.210228,0.296824,0.180167,242642,483840,10.8463,224.9,17,L336
rlinear,electricity,336,720,2022,0.210261,0.296888,0.180163,242642,483840,10.9205,224.9,12,L336
rlinear,electricity,336,720,2023,0.210236,0.296835,0.180159,242642,483840,10.6424,224.9,14,L336
fits,electricity,336,720,2021,0.251800,0.348894,0.219757,11352,44352,11.2941,269.2,14,L336
fits,electricity,336,720,2022,0.251806,0.348903,0.219755,11352,44352,11.1394,269.2,11,L336
fits,electricity,336,720,2023,0.251807,0.348905,0.219771,11352,44352,11.2364,269.2,16,L336
freqlite,electricity,336,720,2021,0.209531,0.295836,0.179379,487445,1024076,20.5105,345.9,12,L336
freqlite,electricity,336,720,2022,0.209550,0.295873,0.179361,487445,1024076,20.5105,345.9,11,L336
freqlite,electricity,336,720,2023,0.209508,0.295792,0.179392,487445,1024076,20.5247,345.9,15,L336
