model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
naive,ETTh1,336,96,2021,1.294371,0.713181,1.560809,0,0,0.0,0.6,0,L336
naive,ETTh1,336,96,2022,1.294371,0.713181,1.560809,0,0,0.0,0.6,0,L336
naive,ETTh1,336,96,2023,1.294371,0.713181,1.560809,0,0,0.0,0.6,0,L336
nlinear,ETTh1,336,96,2021,0.387929,0.407388,0.674133,32352,64512,0.8546,70.4,5,L336
nlinear,ETTh1,336,96,2022,0.378944,0.400437,0.678599,32352,64512,0.8705,70.4,11,L336
nlinear,ETTh1,336,96,2023,0.385916,0.406139,0.668547,32352,64512,0.8575,70.4,7,L336
dlinear,ETTh1,336,96,2021,0.37468,0.396615,0.652697,64704,129024,0.9952,71.3,10,L336
dlinear,ETTh1,336,96,2022,0.375453,0.397457,0.652834,64704,129024,2.1272,71.3,8,L336
dlinear,ETTh1,336,96,2023,0.376942,0.399646,0.652052,64704,129024,1.0275,71.3,6,L336
rlinear,ETTh1,336,96,2021,0.382447,0.402745,0.678096,32354,64512,0.9168,70.1,5,L336
rlinear,ETTh1,336,96,2022,0.376942,0.397793,0.67816,32354,64512,0.8395,70.1,19,L336
rlinear,ETTh1,336,96,2023,0.377836,0.398967,0.673937,32354,64512,0.841,70.1,7,L336
fits,ETTh1,336,96,2021,0.398966,0.419385,0.70719,4644,18144,0.9002,70.8,19,L336
fits,ETTh1,336,96,2022,0.398331,0.418853,0.711588,4644,18144,0.9283,70.8,20,L336
fits,ETTh1,336,96,2023,0.398304,0.418907,0.710346,4644,18144,0.9137,70.8,20,L336
patchtst,ETTh1,336,96,2021,0.462893,0.454454,0.785218,328866,0,3.5269,154.1,9,L336
patchtst,ETTh1,336,96,2022,0.381744,0.407561,0.808611,328866,0,3.4418,154.1,4,L336
patchtst,ETTh1,336,96,2023,0.449431,0.441379,0.789488,328866,0,3.4343,154.1,6,L336
naive,ETTh1,336,192,2021,1.32488,0.733101,1.880851,0,0,0.0,68.1,0,L336
naive,ETTh1,336,192,2022,1.32488,0.733101,1.880851,0,0,0.0,68.1,0,L336
naive,ETTh1,336,192,2023,1.32488,0.733101,1.880851,0,0,0.0,68.1,0,L336
nlinear,ETTh1,336,192,2021,0.41359,0.420973,0.923593,64704,129024,0.6811,71.4,9,L336
nlinear,ETTh1,336,192,2022,0.413672,0.420898,0.923868,64704,129024,0.6698,71.4,9,L336
nlinear,ETTh1,336,192,2023,0.412612,0.42015,0.925357,64704,129024,0.6186,71.4,14,L336
dlinear,ETTh1,336,192,2021,0.409746,0.419264,0.873153,129408,258048,0.7503,72.9,7,L336
dlinear,ETTh1,336,192,2022,0.426632,0.437276,0.863747,129408,258048,0.7777,72.9,4,L336
dlinear,ETTh1,336,192,2023,0.416393,0.426633,0.862919,129408,258048,0.7659,72.9,6,L336
rlinear,ETTh1,336,192,2021,0.413434,0.419719,0.919697,64706,129024,0.8739,71.1,6,L336
rlinear,ETTh1,336,192,2022,0.411329,0.418277,0.92223,64706,129024,0.8837,71.1,7,L336
rlinear,ETTh1,336,192,2023,0.410698,0.417738,0.92107,64706,129024,0.8666,71.1,9,L336
fits,ETTh1,336,192,2021,0.429226,0.436342,0.949923,5676,22176,0.8902,71.6,20,L336
fits,ETTh1,336,192,2022,0.429135,0.436115,0.955656,5676,22176,0.8943,71.6,20,L336
fits,ETTh1,336,192,2023,0.429425,0.436489,0.95137,5676,22176,0.8513,71.6,20,L336
patchtst,ETTh1,336,192,2021,0.44804,0.449909,1.134838,587010,0,3.4678,158.4,5,L336
patchtst,ETTh1,336,192,2022,0.437427,0.440292,1.043899,587010,0,3.4336,158.4,4,L336
patchtst,ETTh1,336,192,2023,0.447461,0.445616,1.070077,587010,0,3.3595,158.4,4,L336
naive,ETTh1,336,336,2021,1.329927,0.745972,2.251628,0,0,0.0,68.6,0,L336
naive,ETTh1,336,336,2022,1.329927,0.745972,2.251628,0,0,0.0,68.6,0,L336
naive,ETTh1,336,336,2023,1.329927,0.745972,2.251628,0,0,0.0,68.6,0,L336
nlinear,ETTh1,336,336,2021,0.437571,0.435786,1.164258,113232,225792,0.5862,73.0,8,L336
nlinear,ETTh1,336,336,2022,0.437214,0.435967,1.160492,113232,225792,0.5875,73.0,7,L336
nlinear,ETTh1,336,336,2023,0.440072,0.439106,1.159485,113232,225792,0.5903,73.0,5,L336
dlinear,ETTh1,336,336,2021,0.450971,0.451768,1.059448,226464,451584,1.1887,75.4,5,L336
dlinear,ETTh1,336,336,2022,0.442796,0.444137,1.058864,226464,451584,0.9017,75.4,7,L336
dlinear,ETTh1,336,336,2023,0.465248,0.464921,1.054253,226464,451584,0.6702,75.4,4,L336
rlinear,ETTh1,336,336,2021,0.449894,0.446342,1.155859,113234,225792,0.7562,72.7,4,L336
rlinear,ETTh1,336,336,2022,0.436714,0.434821,1.154394,113234,225792,0.7353,72.7,7,L336
rlinear,ETTh1,336,336,2023,0.439502,0.437969,1.148481,113234,225792,0.7343,72.7,5,L336
fits,ETTh1,336,336,2021,0.451249,0.448198,1.184383,7224,28224,2.0197,72.8,20,L336
fits,ETTh1,336,336,2022,0.451395,0.448165,1.185276,7224,28224,1.9987,72.8,20,L336
fits,ETTh1,336,336,2023,0.450665,0.448118,1.180463,7224,28224,1.6477,72.8,20,L336
patchtst,ETTh1,336,336,2021,0.608105,0.527822,1.465821,974226,0,4.2828,165.1,5,L336
patchtst,ETTh1,336,336,2022,0.491743,0.473625,1.386243,974226,0,4.3955,165.1,4,L336
patchtst,ETTh1,336,336,2023,0.555593,0.508768,1.582313,974226,0,4.3968,165.1,4,L336
naive,ETTh1,336,720,2021,1.335121,0.755045,2.609958,0,0,0.0,70.0,0,L336
naive,ETTh1,336,720,2022,1.335121,0.755045,2.609958,0,0,0.0,70.0,0,L336
naive,ETTh1,336,720,2023,1.335121,0.755045,2.609958,0,0,0.0,70.0,0,L336
nlinear,ETTh1,336,720,2021,0.444038,0.458852,1.438354,242640,483840,0.8227,77.1,12,L336
nlinear,ETTh1,336,720,2022,0.444601,0.459474,1.436977,242640,483840,0.8596,77.1,8,L336
nlinear,ETTh1,336,720,2023,0.443845,0.458788,1.43757,242640,483840,0.8307,77.1,11,L336
dlinear,ETTh1,336,720,2021,0.506069,0.515321,1.217006,485280,967680,0.9104,81.9,4,L336
dlinear,ETTh1,336,720,2022,0.476869,0.492478,1.222668,485280,967680,1.002,81.9,12,L336
dlinear,ETTh1,336,720,2023,0.480407,0.495767,1.215708,485280,967680,0.9627,81.9,9,L336
rlinear,ETTh1,336,720,2021,0.451956,0.465142,1.422017,242642,483840,1.0148,77.7,5,L336
rlinear,ETTh1,336,720,2022,0.448545,0.462415,1.420555,242642,483840,1.0195,77.7,7,L336
rlinear,ETTh1,336,720,2023,0.447281,0.461373,1.421601,242642,483840,1.113,77.7,12,L336
fits,ETTh1,336,720,2021,0.447488,0.467339,1.45868,11352,44352,1.3662,76.1,20,L336
fits,ETTh1,336,720,2022,0.445943,0.464899,1.453382,11352,44352,1.3424,76.1,20,L336
fits,ETTh1,336,720,2023,0.447452,0.466842,1.458798,11352,44352,1.2952,76.1,20,L336
patchtst,ETTh1,336,720,2021,0.636597,0.568857,1.699675,2006802,0,3.4095,183.4,6,L336
patchtst,ETTh1,336,720,2022,0.597391,0.541545,1.649996,2006802,0,3.3954,183.4,5,L336
patchtst,ETTh1,336,720,2023,0.655168,0.561305,1.658949,2006802,0,3.4042,183.4,4,L336
naive,ETTh2,336,96,2021,0.431657,0.421621,0.31586,0,0,0.0,67.8,0,L336
naive,ETTh2,336,96,2022,0.431657,0.421621,0.31586,0,0,0.0,67.8,0,L336
naive,ETTh2,336,96,2023,0.431657,0.421621,0.31586,0,0,0.0,67.8,0,L336
nlinear,ETTh2,336,96,2021,0.284202,0.344647,0.212572,32352,64512,0.6264,70.4,7,L336
nlinear,ETTh2,336,96,2022,0.281392,0.343566,0.212837,32352,64512,0.7016,70.4,11,L336
nlinear,ETTh2,336,96,2023,0.282552,0.343924,0.212431,32352,64512,0.6874,70.4,7,L336
dlinear,ETTh2,336,96,2021,0.283012,0.346958,0.21204,64704,129024,0.7673,71.3,7,L336
dlinear,ETTh2,336,96,2022,0.288207,0.352777,0.216493,64704,129024,0.793,71.3,7,L336
dlinear,ETTh2,336,96,2023,0.284183,0.348781,0.212942,64704,129024,0.8881,71.3,7,L336
rlinear,ETTh2,336,96,2021,0.281165,0.341842,0.208294,32354,64512,1.0208,70.1,7,L336
