variant,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,rho,params,epochs_run
rlinear,exchange_rate,96,96,2021,0.083954,0.202971,0.135225,,9314,19
rlinear,exchange_rate,96,96,2022,0.084438,0.203586,0.135262,,9314,7
rlinear,exchange_rate,96,96,2023,0.084135,0.203111,0.134820,,9314,8
dlinear,exchange_rate,96,96,2021,0.080847,0.206032,0.170310,,18624,8
dlinear,exchange_rate,96,96,2022,0.080823,0.205833,0.169257,,18624,7
dlinear,exchange_rate,96,96,2023,0.080573,0.204873,0.166707,,18624,6
fits,exchange_rate,96,96,2021,0.096079,0.221097,0.149550,,624,20
fits,exchange_rate,96,96,2022,0.099643,0.224510,0.150166,,624,20
fits,exchange_rate,96,96,2023,0.097704,0.223099,0.149721,,624,20
arevin_linear,exchange_rate,96,96,2021,0.083959,0.202946,0.135122,0.5198,9603,19
arevin_linear,exchange_rate,96,96,2022,0.084423,0.203549,0.135200,0.5195,9603,7
arevin_linear,exchange_rate,96,96,2023,0.084111,0.203067,0.134767,0.5160,9603,8
freqlite_def,exchange_rate,96,96,2021,0.083934,0.202517,0.133625,0.0194,18917,6
freqlite_def,exchange_rate,96,96,2022,0.083750,0.202244,0.133732,0.0195,18917,6
freqlite_def,exchange_rate,96,96,2023,0.083673,0.202227,0.133939,0.0196,18917,7
freqlite_arevin,exchange_rate,96,96,2021,0.083917,0.202471,0.133534,0.5170,18917,6
freqlite_arevin,exchange_rate,96,96,2022,0.083728,0.202192,0.133631,0.5185,18917,6
freqlite_arevin,exchange_rate,96,96,2023,0.083647,0.202175,0.133860,0.5199,18917,7
freqlite_forced,exchange_rate,96,96,2021,0.083903,0.202432,0.133460,0.9997,18917,6
freqlite_forced,exchange_rate,96,96,2022,0.083712,0.202152,0.133547,0.9997,18917,6
freqlite_forced,exchange_rate,96,96,2023,0.083632,0.202136,0.133786,0.9997,18917,7
rlinear,exchange_rate,96,192,2021,0.174947,0.297270,0.230532,,18626,19
rlinear,exchange_rate,96,192,2022,0.174627,0.297215,0.231028,,18626,20
rlinear,exchange_rate,96,192,2023,0.174809,0.297222,0.230756,,18626,19
dlinear,exchange_rate,96,192,2021,0.159439,0.295726,0.358335,,37248,8
dlinear,exchange_rate,96,192,2022,0.171661,0.308251,0.410656,,37248,7
dlinear,exchange_rate,96,192,2023,0.163663,0.300047,0.373502,,37248,5
fits,exchange_rate,96,192,2021,0.191273,0.314676,0.255940,,936,20
fits,exchange_rate,96,192,2022,0.193666,0.315704,0.256665,,936,20
fits,exchange_rate,96,192,2023,0.193518,0.316465,0.257646,,936,20
arevin_linear,exchange_rate,96,192,2021,0.175245,0.297455,0.230328,0.5215,19203,19
arevin_linear,exchange_rate,96,192,2022,0.174934,0.297410,0.230792,0.5214,19203,20
arevin_linear,exchange_rate,96,192,2023,0.175072,0.297380,0.230551,0.5216,19203,19
freqlite_def,exchange_rate,96,192,2021,0.174591,0.296655,0.229316,0.0197,37829,18
freqlite_def,exchange_rate,96,192,2022,0.174579,0.296646,0.229400,0.0199,37829,20
freqlite_def,exchange_rate,96,192,2023,0.174504,0.296470,0.229152,0.0197,37829,20
freqlite_arevin,exchange_rate,96,192,2021,0.174721,0.296724,0.229167,0.5208,37829,18
freqlite_arevin,exchange_rate,96,192,2022,0.174731,0.296737,0.229245,0.5221,37829,20
freqlite_arevin,exchange_rate,96,192,2023,0.174610,0.296525,0.229023,0.5207,37829,20
freqlite_forced,exchange_rate,96,192,2021,0.174796,0.296761,0.229066,0.9997,37829,18
freqlite_forced,exchange_rate,96,192,2022,0.174821,0.296788,0.229140,0.9997,37829,20
freqlite_forced,exchange_rate,96,192,2023,0.174671,0.296553,0.228934,0.9997,37829,20
rlinear,exchange_rate,96,336,2021,0.323526,0.411195,0.392406,,32594,19
rlinear,exchange_rate,96,336,2022,0.323347,0.411115,0.392693,,32594,20
rlinear,exchange_rate,96,336,2023,0.323548,0.411232,0.392253,,32594,19
dlinear,exchange_rate,96,336,2021,0.299974,0.415592,0.922127,,65184,7
dlinear,exchange_rate,96,336,2022,0.291882,0.405574,0.881245,,65184,5
dlinear,exchange_rate,96,336,2023,0.305722,0.417237,0.940809,,65184,9
fits,exchange_rate,96,336,2021,0.344109,0.427461,0.442067,,1404,20
fits,exchange_rate,96,336,2022,0.344228,0.427483,0.442025,,1404,20
fits,exchange_rate,96,336,2023,0.344852,0.427170,0.443097,,1404,20
arevin_linear,exchange_rate,96,336,2021,0.324334,0.411619,0.391268,0.5272,33603,19
arevin_linear,exchange_rate,96,336,2022,0.324180,0.411557,0.391549,0.5248,33603,20
arevin_linear,exchange_rate,96,336,2023,0.324376,0.411659,0.391130,0.5282,33603,19
freqlite_def,exchange_rate,96,336,2021,0.323820,0.410970,0.389728,0.0197,66197,7
freqlite_def,exchange_rate,96,336,2022,0.324137,0.411117,0.389767,0.0201,66197,18
freqlite_def,exchange_rate,96,336,2023,0.323882,0.410957,0.390183,0.0200,66197,19
freqlite_arevin,exchange_rate,96,336,2021,0.324234,0.411191,0.389044,0.5196,66197,7
freqlite_arevin,exchange_rate,96,336,2022,0.324623,0.411387,0.389034,0.5246,66197,18
freqlite_arevin,exchange_rate,96,336,2023,0.324338,0.411207,0.389469,0.5236,66197,19
freqlite_forced,exchange_rate,96,336,2021,0.324513,0.411340,0.388559,0.9997,66197,7
freqlite_forced,exchange_rate,96,336,2022,0.324942,0.411566,0.388540,0.9997,66197,18
freqlite_forced,exchange_rate,96,336,2023,0.324644,0.411376,0.388974,0.9997,66197,19
rlinear,exchange_rate,96,720,2021,0.836040,0.688706,1.185255,,69842,19
rlinear,exchange_rate,96,720,2022,0.835834,0.688623,1.187189,,69842,20
rlinear,exchange_rate,96,720,2023,0.836092,0.688672,1.183960,,69842,20
dlinear,exchange_rate,96,720,2021,0.818374,0.681177,3.484290,,139680,10
dlinear,exchange_rate,96,720,2022,0.785264,0.668058,3.423583,,139680,6
dlinear,exchange_rate,96,720,2023,0.800686,0.676849,3.460539,,139680,4
fits,exchange_rate,96,720,2021,0.884851,0.715137,1.285569,,2652,20
fits,exchange_rate,96,720,2022,0.883500,0.714033,1.297722,,2652,20
fits,exchange_rate,96,720,2023,0.882564,0.713313,1.285914,,2652,20
arevin_linear,exchange_rate,96,720,2021,0.837599,0.689267,1.182023,0.5147,72003,19
arevin_linear,exchange_rate,96,720,2022,0.837405,0.689197,1.183975,0.5147,72003,20
arevin_linear,exchange_rate,96,720,2023,0.837642,0.689236,1.180560,0.5163,72003,20
freqlite_def,exchange_rate,96,720,2021,0.838599,0.689390,1.176064,0.0190,141845,20
freqlite_def,exchange_rate,96,720,2022,0.849109,0.694684,1.141457,0.0190,141845,5
freqlite_def,exchange_rate,96,720,2023,0.838107,0.689171,1.174191,0.0191,141845,20
freqlite_arevin,exchange_rate,96,720,2021,0.839500,0.689705,1.173460,0.5126,141845,20
freqlite_arevin,exchange_rate,96,720,2022,0.850654,0.695272,1.137122,0.5125,141845,5
freqlite_arevin,exchange_rate,96,720,2023,0.839217,0.689575,1.171029,0.5142,141845,20
freqlite_forced,exchange_rate,96,720,2021,0.840211,0.689953,1.171256,0.9997,141845,20
freqlite_forced,exchange_rate,96,720,2022,0.851935,0.695757,1.133478,0.9997,141845,5
freqlite_forced,exchange_rate,96,720,2023,0.840094,0.689894,1.168395,0.9997,141845,20
rlinear,national_illness,36,24,2021,4.093921,1.449898,0.721181,,890,20
rlinear,national_illness,36,24,2022,4.002403,1.444840,0.714908,,890,20
rlinear,national_illness,36,24,2023,4.053801,1.443685,0.745985,,890,20
dlinear,national_illness,36,24,2021,4.515991,1.544651,0.788707,,1776,20
dlinear,national_illness,36,24,2022,5.010503,1.632020,0.869403,,1776,20
dlinear,national_illness,36,24,2023,4.524639,1.530433,0.804839,,1776,20
fits,national_illness,36,24,2021,8.799300,2.212018,1.671969,,96,20
fits,national_illness,36,24,2022,6.237877,1.823638,1.110207,,96,20
fits,national_illness,36,24,2023,4.964708,1.615156,0.773949,,96,20
arevin_linear,national_illness,36,24,2021,4.066771,1.442744,0.720751,0.5096,963,20
