dataset,model,seed,lookback,horizon,third,n_windows,shift_mean,mse,mae,params,epochs_run
ETTh1,rlinear,2021,336,96,Near,929,0.452649,0.320614,0.375038,32354,5
ETTh1,rlinear,2021,336,96,Mid,928,0.521576,0.362600,0.387938,32354,5
ETTh1,rlinear,2021,336,96,Far,928,0.631654,0.464194,0.445287,32354,5
ETTh1,rlinear,2022,336,96,Near,929,0.452649,0.316583,0.370502,32354,19
ETTh1,rlinear,2022,336,96,Mid,928,0.521576,0.357710,0.382859,32354,19
ETTh1,rlinear,2022,336,96,Far,928,0.631654,0.456599,0.440046,32354,19
ETTh1,rlinear,2023,336,96,Near,929,0.452649,0.317197,0.371644,32354,7
ETTh1,rlinear,2023,336,96,Mid,928,0.521576,0.358726,0.384316,32354,7
ETTh1,rlinear,2023,336,96,Far,928,0.631654,0.457651,0.440971,32354,7
ETTh1,arevin_linear,2021,336,96,Near,929,0.452649,0.319945,0.374492,32643,5
ETTh1,arevin_linear,2021,336,96,Mid,928,0.521576,0.361481,0.387237,32643,5
ETTh1,arevin_linear,2021,336,96,Far,928,0.631654,0.463966,0.445049,32643,5
ETTh1,arevin_linear,2022,336,96,Near,929,0.452649,0.316285,0.370272,32643,19
ETTh1,arevin_linear,2022,336,96,Mid,928,0.521576,0.357127,0.382527,32643,19
ETTh1,arevin_linear,2022,336,96,Far,928,0.631654,0.456596,0.440005,32643,19
ETTh1,arevin_linear,2023,336,96,Near,929,0.452649,0.316791,0.371297,32643,7
ETTh1,arevin_linear,2023,336,96,Mid,928,0.521576,0.357983,0.383852,32643,7
ETTh1,arevin_linear,2023,336,96,Far,928,0.631654,0.457541,0.440840,32643,7
ETTh1,freqlite,2021,336,96,Near,929,0.452649,0.314306,0.367573,64997,6
ETTh1,freqlite,2021,336,96,Mid,928,0.521576,0.354660,0.379076,64997,6
ETTh1,freqlite,2021,336,96,Far,928,0.631654,0.453404,0.437264,64997,6
ETTh1,freqlite,2022,336,96,Near,929,0.452649,0.311863,0.366636,64997,7
ETTh1,freqlite,2022,336,96,Mid,928,0.521576,0.353216,0.378926,64997,7
ETTh1,freqlite,2022,336,96,Far,928,0.631654,0.451893,0.436196,64997,7
ETTh1,freqlite,2023,336,96,Near,929,0.452649,0.313396,0.367806,64997,6
ETTh1,freqlite,2023,336,96,Mid,928,0.521576,0.354376,0.379887,64997,6
ETTh1,freqlite,2023,336,96,Far,928,0.631654,0.452840,0.437310,64997,6
ETTm2,rlinear,2021,336,96,Near,3809,1.141216,0.185601,0.279693,32354,9
ETTm2,rlinear,2021,336,96,Mid,3808,1.311944,0.129793,0.221695,32354,9
ETTm2,rlinear,2021,336,96,Far,3808,1.514672,0.182141,0.264630,32354,9
ETTm2,rlinear,2022,336,96,Near,3809,1.141216,0.185641,0.279684,32354,10
ETTm2,rlinear,2022,336,96,Mid,3808,1.311944,0.129560,0.221522,32354,10
ETTm2,rlinear,2022,336,96,Far,3808,1.514672,0.182281,0.264429,32354,10
ETTm2,rlinear,2023,336,96,Near,3809,1.141216,0.185859,0.279888,32354,14
ETTm2,rlinear,2023,336,96,Mid,3808,1.311944,0.129761,0.221658,32354,14
ETTm2,rlinear,2023,336,96,Far,3808,1.514672,0.181643,0.264393,32354,14
ETTm2,arevin_linear,2021,336,96,Near,3809,1.141216,0.185245,0.279335,32643,9
ETTm2,arevin_linear,2021,336,96,Mid,3808,1.311944,0.129622,0.221328,32643,9
ETTm2,arevin_linear,2021,336,96,Far,3808,1.514672,0.181808,0.264396,32643,9
ETTm2,arevin_linear,2022,336,96,Near,3809,1.141216,0.185209,0.279248,32643,10
ETTm2,arevin_linear,2022,336,96,Mid,3808,1.311944,0.129364,0.221122,32643,10
ETTm2,arevin_linear,2022,336,96,Far,3808,1.514672,0.182119,0.264192,32643,10
ETTm2,arevin_linear,2023,336,96,Near,3809,1.141216,0.185425,0.279445,32643,14
ETTm2,arevin_linear,2023,336,96,Mid,3808,1.311944,0.129563,0.221254,32643,14
ETTm2,arevin_linear,2023,336,96,Far,3808,1.514672,0.181507,0.264177,32643,14
ETTm2,freqlite,2021,336,96,Near,3809,1.141216,0.183484,0.277186,64997,9
ETTm2,freqlite,2021,336,96,Mid,3808,1.311944,0.128438,0.219328,64997,9
ETTm2,freqlite,2021,336,96,Far,3808,1.514672,0.180889,0.262380,64997,9
ETTm2,freqlite,2022,336,96,Near,3809,1.141216,0.183697,0.277438,64997,7
ETTm2,freqlite,2022,336,96,Mid,3808,1.311944,0.127933,0.218790,64997,7
ETTm2,freqlite,2022,336,96,Far,3808,1.514672,0.178368,0.260608,64997,7
ETTm2,freqlite,2023,336,96,Near,3809,1.141216,0.184165,0.277713,64997,7
ETTm2,freqlite,2023,336,96,Mid,3808,1.311944,0.128361,0.219282,64997,7
ETTm2,freqlite,2023,336,96,Far,3808,1.514672,0.181135,0.262141,64997,7
weather,rlinear,2021,336,96,Near,3482,0.316863,0.206403,0.258744,32354,11
weather,rlinear,2021,336,96,Mid,3482,0.553891,0.152036,0.215930,32354,11
weather,rlinear,2021,336,96,Far,3481,0.728057,0.164358,0.197048,32354,11
weather,rlinear,2022,336,96,Near,3482,0.316863,0.206602,0.259022,32354,12
weather,rlinear,2022,336,96,Mid,3482,0.553891,0.152183,0.216159,32354,12
weather,rlinear,2022,336,96,Far,3481,0.728057,0.164575,0.197295,32354,12
weather,rlinear,2023,336,96,Near,3482,0.316863,0.207399,0.260035,32354,8
weather,rlinear,2023,336,96,Mid,3482,0.553891,0.152901,0.217044,32354,8
weather,rlinear,2023,336,96,Far,3481,0.728057,0.165397,0.197887,32354,8
weather,arevin_linear,2021,336,96,Near,3482,0.316863,0.206517,0.258896,32643,11
weather,arevin_linear,2021,336,96,Mid,3482,0.553891,0.152115,0.216049,32643,11
weather,arevin_linear,2021,336,96,Far,3481,0.728057,0.164448,0.197169,32643,11
weather,arevin_linear,2022,336,96,Near,3482,0.316863,0.206715,0.259178,32643,12
weather,arevin_linear,2022,336,96,Mid,3482,0.553891,0.152262,0.216269,32643,12
weather,arevin_linear,2022,336,96,Far,3481,0.728057,0.164656,0.197401,32643,12
weather,arevin_linear,2023,336,96,Near,3482,0.316863,0.207440,0.260112,32643,8
weather,arevin_linear,2023,336,96,Mid,3482,0.553891,0.152891,0.217076,32643,8
weather,arevin_linear,2023,336,96,Far,3481,0.728057,0.165368,0.197928,32643,8
weather,freqlite,2021,336,96,Near,3482,0.316863,0.206718,0.259217,64997,8
weather,freqlite,2021,336,96,Mid,3482,0.553891,0.152218,0.216266,64997,8
weather,freqlite,2021,336,96,Far,3481,0.728057,0.164636,0.197370,64997,8
weather,freqlite,2022,336,96,Near,3482,0.316863,0.205950,0.258366,64997,8
weather,freqlite,2022,336,96,Mid,3482,0.553891,0.151852,0.215763,64997,8
weather,freqlite,2022,336,96,Far,3481,0.728057,0.164032,0.196999,64997,8
weather,freqlite,2023,336,96,Near,3482,0.316863,0.205827,0.257649,64997,8
weather,freqlite,2023,336,96,Mid,3482,0.553891,0.152012,0.215482,64997,8
weather,freqlite,2023,336,96,Far,3481,0.728057,0.164336,0.196685,64997,8
exchange_rate,rlinear,2021,96,96,Near,475,0.996840,0.073526,0.196666,9314,19
exchange_rate,rlinear,2021,96,96,Mid,474,1.545210,0.082972,0.199500,9314,19
exchange_rate,rlinear,2021,96,96,Far,474,2.028681,0.095386,0.212761,9314,19
exchange_rate,rlinear,2022,96,96,Near,475,0.996840,0.073612,0.196774,9314,7
exchange_rate,rlinear,2022,96,96,Mid,474,1.545210,0.083673,0.200665,9314,7
exchange_rate,rlinear,2022,96,96,Far,474,2.028681,0.096053,0.213333,9314,7
exchange_rate,rlinear,2023,96,96,Near,475,0.996840,0.073386,0.196466,9314,8
exchange_rate,rlinear,2023,96,96,Mid,474,1.545210,0.083341,0.200002,9314,8
exchange_rate,rlinear,2023,96,96,Far,474,2.028681,0.095700,0.212879,9314,8
exchange_rate,arevin_linear,2021,96,96,Near,475,0.996840,0.073527,0.196653,9603,19
exchange_rate,arevin_linear,2021,96,96,Mid,474,1.545210,0.083025,0.199462,9603,19
exchange_rate,arevin_linear,2021,96,96,Far,474,2.028681,0.095347,0.212737,9603,19
exchange_rate,arevin_linear,2022,96,96,Near,475,0.996840,0.073613,0.196773,9603,7
exchange_rate,arevin_linear,2022,96,96,Mid,474,1.545210,0.083692,0.200601,9603,7
exchange_rate,arevin_linear,2022,96,96,Far,474,2.028681,0.095987,0.213287,9603,7
exchange_rate,arevin_linear,2023,96,96,Near,475,0.996840,0.073372,0.196433,9603,8
exchange_rate,arevin_linear,2023,96,96,Mid,474,1.545210,0.083352,0.199949,9603,8
exchange_rate,arevin_linear,2023,96,96,Far,474,2.028681,0.095633,0.212833,9603,8
exchange_rate,freqlite,2021,96,96,Near,475,0.996840,0.073068,0.195892,18917,6
exchange_rate,freqlite,2021,96,96,Mid,474,1.545210,0.083398,0.199625,18917,6
exchange_rate,freqlite,2021,96,96,Far,474,2.028681,0.095310,0.211909,18917,6
exchange_rate,freqlite,2022,96,96,Near,475,0.996840,0.072835,0.195348,18917,6
exchange_rate,freqlite,2022,96,96,Mid,474,1.545210,0.083090,0.199318,18917,6
exchange_rate,freqlite,2022,96,96,Far,474,2.028681,0.095284,0.211926,18917,6
exchange_rate,freqlite,2023,96,96,Near,475,0.996840,0.073063,0.195820,18917,7
exchange_rate,freqlite,2023,96,96,Mid,474,1.545210,0.082817,0.198872,18917,7
exchange_rate,freqlite,2023,96,96,Far,474,2.028681,0.095082,0.211846,18917,7
