delta,variant,seed,mse,mae,rho
0.0,rlinear,2021,0.11512348867477255,0.27081392716008723,
0.0,rlinear,2022,0.11488774311035238,0.27047346699322367,
0.0,rlinear,2023,0.1149822749990098,0.2707531741324891,
0.0,arevin_linear,2021,0.11544903356132778,0.27117749993682755,0.5177
0.0,arevin_linear,2022,0.11519675706083893,0.27082221677117313,0.5180
0.0,arevin_linear,2023,0.11532042971316804,0.27112701915680093,0.5176
0.0,freqlite,2021,0.10369655035488995,0.257117475981408,0.5199
0.0,freqlite,2022,0.10349575963848871,0.2567270178744133,0.5197
0.0,freqlite,2023,0.10349191395526236,0.2565853103255549,0.5194
0.5,rlinear,2021,0.12263449016192281,0.27860752445586184,
0.5,rlinear,2022,0.122534460759332,0.2783537390384268,
0.5,rlinear,2023,0.12281986035353748,0.2787676637477063,
0.5,arevin_linear,2021,0.12296667449863244,0.279007901832567,0.5182
0.5,arevin_linear,2022,0.12286268679808218,0.278750718485379,0.5183
0.5,arevin_linear,2023,0.12302335775490349,0.2790270999391028,0.5181
0.5,freqlite,2021,0.11340687822365592,0.2677450612081704,0.5199
0.5,freqlite,2022,0.11319816414768814,0.26732618762246263,0.5199
0.5,freqlite,2023,0.11334396152631611,0.26752737802816623,0.5196
1.0,rlinear,2021,0.13452752427006445,0.2858381544444578,
1.0,rlinear,2022,0.13467674230007415,0.2859367649605934,
1.0,rlinear,2023,0.13509291803583184,0.2863346208071878,
1.0,arevin_linear,2021,0.1347275752970513,0.28609575578506957,0.5189
1.0,arevin_linear,2022,0.13487870604433913,0.28620431938915386,0.5190
1.0,arevin_linear,2023,0.13505692427039992,0.28638004673288225,0.5191
1.0,freqlite,2021,0.12874460727610487,0.27896117157969913,0.5203
1.0,freqlite,2022,0.12848051498967705,0.2785371446440406,0.5205
1.0,freqlite,2023,0.12884591631855524,0.27890406246726396,0.5202
2.0,rlinear,2021,0.13782388458015227,0.27787053648461685,
2.0,rlinear,2022,0.1381213925408979,0.27852042292026763,
2.0,rlinear,2023,0.13869797452121763,0.27871492906665124,
2.0,arevin_linear,2021,0.13751178857282545,0.27760604628434415,0.5221
2.0,arevin_linear,2022,0.13777322616982968,0.27824451128641764,0.5225
2.0,arevin_linear,2023,0.13812671975886567,0.2782525670443866,0.5233
2.0,freqlite,2021,0.13449990673268095,0.27370511838730344,0.5238
2.0,freqlite,2022,0.13413903772408234,0.27334858745547896,0.5244
2.0,freqlite,2023,0.13470489682880699,0.27382688805566613,0.5240
4.0,rlinear,2021,0.10893537522630489,0.24114109535589287,
4.0,rlinear,2022,0.11014817206994862,0.24300500970360236,
4.0,rlinear,2023,0.11003660756222745,0.24241975977065716,
4.0,arevin_linear,2021,0.10741493342616033,0.23955334247426785,0.5388
4.0,arevin_linear,2022,0.10865046563723409,0.24147610102139466,0.5374
4.0,arevin_linear,2023,0.10838070782363837,0.24073219886908295,0.5398
4.0,freqlite,2021,0.10590333431325061,0.23751624180070052,0.5404
4.0,freqlite,2022,0.10602517284400075,0.2377586492409943,0.5394
4.0,freqlite,2023,0.10602953719331863,0.23755294054957993,0.5396
